date,symbol,doc_count,mention_count,claim_card_count,issue_cluster_count,upside_score,downside_risk_score,risk_score,bm_sector_fit_score,persistence_score,net_edge_score,source_diversity_ratio,source_reliability_mean,dart_doc_count,news_doc_count,rss_doc_count,selected_articles_doc_count,news_mention_count,telegram_doc_count,blog_doc_count,premium_doc_count,image_map_doc_count,images_ocr_doc_count,event_tagged_doc_count,event_order_count,event_rights_issue_count,event_lawsuit_count,event_guidance_count,macro_news_doc_count,macro_risk_on_ratio,macro_risk_off_ratio,macro_risk_signal,macro_to_stock_axes_applied,qualitative_signal,dup_guard_axis_weight_upside,dup_guard_axis_weight_downside,dup_guard_axis_weight_bm,dup_guard_axis_weight_persistence,dup_guard_corr_threshold,dup_guard_axis_cap,dup_guard_pre_high_corr_pair_count,dup_guard_post_high_corr_pair_count,dup_guard_actions,dup_guard_pre_pairs,dup_guard_post_pairs,stage4_numeric_weight,stage3_qual_weight,stage4_link_formula,brain_backend
2025-03-19,013890,1.0,2.0,2.0,2.0,54.12928198180764,50.00000000000001,50.00000000000001,70.57069147612597,63.90388362041159,4.12928198180763,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.22983050064358368,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-03-27,298380,1.0,1.0,1.0,1.0,73.33333333333333,30.0,30.0,69.04285714285714,60.068333333333335,43.33333333333333,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.32740793650793654,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-01,000660,1.0,1.0,1.0,1.0,73.33333333333333,30.0,30.0,66.82285714285715,58.30833333333334,43.33333333333333,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.30087460317460324,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-01,000950,1.0,1.0,1.0,1.0,73.33333333333333,30.0,30.0,66.82285714285715,58.30833333333334,43.33333333333333,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.30087460317460324,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-01,034730,1.0,1.0,1.0,1.0,73.33333333333333,30.0,30.0,66.82285714285715,58.30833333333334,43.33333333333333,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.30087460317460324,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-01,452400,1.0,1.0,1.0,1.0,73.33333333333333,30.0,30.0,66.82285714285715,58.30833333333334,43.33333333333333,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.30087460317460324,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-15,228670,1.0,1.0,1.0,1.0,50.0,50.0,50.0,69.04285714285714,59.98583333333334,0.0,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.1935246031746032,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-16,010240,1.0,4.0,4.0,4.0,60.58795637743006,44.22475106685633,44.22475106685633,69.89759398496241,71.3450687529635,16.363205310573733,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,on,0.3134527444737973,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-16,035420,1.0,4.0,4.0,4.0,60.58795637743006,44.22475106685633,44.22475106685633,69.89759398496241,71.3450687529635,16.363205310573733,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,on,0.3134527444737973,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-16,035720,1.0,4.0,4.0,4.0,60.58795637743006,44.22475106685633,44.22475106685633,69.89759398496241,71.3450687529635,16.363205310573733,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,on,0.3134527444737973,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-16,119850,1.0,4.0,4.0,4.0,60.58795637743006,44.22475106685633,44.22475106685633,69.89759398496241,71.3450687529635,16.363205310573733,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,on,0.3134527444737973,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-04-16,228670,1.0,4.0,4.0,4.0,60.58795637743006,44.22475106685633,44.22475106685633,69.89759398496241,66.3450687529635,16.363205310573733,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,on,0.2801194111404639,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-05-03,000660,1.0,2.0,2.0,2.0,50.0,50.0,50.0,69.04285714285714,60.58,0.0,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.19748571428571426,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-05-03,034730,1.0,2.0,2.0,2.0,50.0,50.0,50.0,69.04285714285714,60.58,0.0,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.19748571428571426,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-05-03,036930,1.0,2.0,2.0,2.0,50.0,50.0,50.0,69.04285714285714,62.24666666666666,0.0,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.20859682539682536,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
2025-05-03,084370,1.0,2.0,2.0,2.0,50.0,50.0,50.0,69.04285714285714,62.24666666666666,0.0,0.14285714285714285,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,on,0.20859682539682536,0.0,0.25,0.25,0.25,0.7,0.25,1,0,"[{""action"": ""drop_axis"", ""axis"": ""upside"", ""reason"": {""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}}]","[{""axis_a"": ""dup_axis_upside_rep"", ""axis_b"": ""dup_axis_downside_rep"", ""rho"": -0.9624627969120082}]",[],0.8,0.2,COMPOSITE = 0.80*VALUE_SCORE + 0.20*QUALITATIVE_SIGNAL,llama_local
