rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2020-04-29,미래에셋증권,펩트론,"NAVER, 카카오, 리노공업, 현대로템, 셀트리온",꺾임신호:1,"셀트리온(068270) 53.9%, 29d; 현대로템(064350) 34.5%, 29d; 카카오(035720) 11.6%, 61d"
2020-05-29,HLB,리노공업,"미래에셋증권, NAVER, 카카오, 현대로템, 셀트리온",꺾임신호:1,"셀트리온(068270) 53.9%, 59d; 현대로템(064350) 29.8%, 59d; 카카오(035720) 16.3%, 91d"
2020-06-30,비에이치아이,카카오,"미래에셋증권, HLB, NAVER, 현대로템, 셀트리온",꺾임신호:1,"셀트리온(068270) 62.9%, 91d; 현대로템(064350) 23.7%, 91d; 비에이치아이(083650) 13.4%, 0d"
2020-07-31,엘앤에프,셀트리온,"미래에셋증권, HLB, NAVER, 현대로템, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 59.8%, 0d; 현대로템(064350) 27.5%, 122d; 비에이치아이(083650) 12.7%, 31d"
2020-08-31,두산에너빌리티,현대로템,"미래에셋증권, HLB, NAVER, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 64.1%, 31d; 두산에너빌리티(034020) 23.7%, 0d; 비에이치아이(083650) 12.3%, 62d"
2020-09-29,우리기술,두산에너빌리티,"미래에셋증권, HLB, NAVER, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 66.5%, 60d; 우리기술(032820) 20.5%, 0d; 비에이치아이(083650) 13.1%, 91d"
2020-10-30,"삼성SDI, 유진로봇","미래에셋증권, 우리기술","HLB, NAVER, 엘앤에프, 비에이치아이","트레일링스탑:1, 꺾임신호:1","엘앤에프(066970) 69.2%, 91d; 삼성SDI(006400) 17.3%, 0d; 비에이치아이(083650) 13.5%, 122d"
2020-11-30,두산에너빌리티,유진로봇,"삼성SDI, HLB, NAVER, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 71.1%, 122d; 삼성SDI(006400) 16.7%, 31d; 비에이치아이(083650) 12.3%, 153d"
2020-12-30,하나마이크론,두산에너빌리티,"삼성SDI, HLB, NAVER, 엘앤에프, 비에이치아이",교체(+15% 우위):1,"엘앤에프(066970) 75.3%, 152d; 삼성SDI(006400) 14.7%, 61d; 비에이치아이(083650) 10.1%, 183d"
2021-01-29,파마리서치,하나마이크론,"삼성SDI, HLB, NAVER, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 73.8%, 182d; 삼성SDI(006400) 16.3%, 91d; 비에이치아이(083650) 9.9%, 213d"
2021-02-26,"SK하이닉스, 신한지주","HLB, 파마리서치","삼성SDI, NAVER, 엘앤에프, 비에이치아이","트레일링스탑:1, 꺾임신호:1","엘앤에프(066970) 73.7%, 210d; 삼성SDI(006400) 15.5%, 119d; 비에이치아이(083650) 10.8%, 241d"
2021-03-31,한화시스템,NAVER,"SK하이닉스, 삼성SDI, 신한지주, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 72.2%, 243d; 비에이치아이(083650) 14.4%, 274d; 삼성SDI(006400) 13.5%, 152d"
2021-04-30,한화엔진,한화시스템,"SK하이닉스, 삼성SDI, 신한지주, 엘앤에프, 비에이치아이",꺾임신호:1,"엘앤에프(066970) 74.6%, 273d; 비에이치아이(083650) 13.5%, 304d; 삼성SDI(006400) 11.9%, 182d"
2021-05-31,대한전선,엘앤에프,"SK하이닉스, 삼성SDI, 신한지주, 한화엔진, 비에이치아이",꺾임신호:1,"대한전선(001440) 72.3%, 0d; 비에이치아이(083650) 16.5%, 335d; 삼성SDI(006400) 11.2%, 213d"
2021-06-30,레인보우로보틱스,대한전선,"SK하이닉스, 삼성SDI, 신한지주, 한화엔진, 비에이치아이",꺾임신호:1,"레인보우로보틱스(277810) 78.1%, 0d; 비에이치아이(083650) 12.8%, 365d; 삼성SDI(006400) 9.2%, 243d"
2021-07-30,"에스피지, 현대로템","SK하이닉스, 한화엔진","삼성SDI, 신한지주, 비에이치아이, 레인보우로보틱스","트레일링스탑:1, 꺾임신호:1","레인보우로보틱스(277810) 76.7%, 30d; 비에이치아이(083650) 12.9%, 395d; 삼성SDI(006400) 10.5%, 273d"
2021-08-31,"에코프로, 에코프로비엠","에스피지, 비에이치아이","삼성SDI, 신한지주, 현대로템, 레인보우로보틱스","트레일링스탑:1, 교체(+15% 우위):1","레인보우로보틱스(277810) 76.4%, 62d; 삼성SDI(006400) 12.0%, 305d; 에코프로(086520) 11.5%, 0d"
2021-09-30,HD현대일렉트릭,에코프로,"삼성SDI, 신한지주, 현대로템, 에코프로비엠, 레인보우로보틱스",꺾임신호:1,"레인보우로보틱스(277810) 78.2%, 92d; 삼성SDI(006400) 11.3%, 335d; HD현대일렉트릭(267260) 10.5%, 0d"
2021-10-29,"LG이노텍, 하나마이크론, 에코프로","현대로템, HD현대일렉트릭, 레인보우로보틱스","삼성SDI, 신한지주, 에코프로비엠","트레일링스탑:2, 꺾임신호:1","하나마이크론(067310) 83.6%, 0d; 삼성SDI(006400) 12.5%, 364d; 에코프로(086520) 3.8%, 0d"
2021-11-30,포스코퓨처엠,삼성SDI,"LG이노텍, 신한지주, 하나마이크론, 에코프로, 에코프로비엠",꺾임신호:1,"하나마이크론(067310) 82.9%, 32d; 포스코퓨처엠(003670) 12.0%, 0d; 에코프로(086520) 5.1%, 32d"
2021-12-30,삼성물산,에코프로비엠,"포스코퓨처엠, LG이노텍, 신한지주, 하나마이크론, 에코프로",꺾임신호:1,"하나마이크론(067310) 85.7%, 62d; 포스코퓨처엠(003670) 10.0%, 30d; 에코프로(086520) 4.3%, 62d"
2022-01-28,"현대건설, 한미반도체, 효성중공업","포스코퓨처엠, 삼성물산, 에코프로","LG이노텍, 신한지주, 하나마이크론","트레일링스탑:2, 꺾임신호:1","하나마이크론(067310) 88.4%, 91d; 현대건설(000720) 10.9%, 0d"
2022-02-28,보성파워텍,한미반도체,"현대건설, LG이노텍, 신한지주, 하나마이크론, 효성중공업",꺾임신호:1,"하나마이크론(067310) 88.5%, 122d; 현대건설(000720) 10.7%, 31d"
