rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2024-04-30,"HL만도, 슈어소프트테크","현대로템, 제주반도체","삼성물산, LIG넥스원, 원익IPS, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1","HD현대일렉트릭(267260) 99.0%, 761d"
2024-05-31,KB금융,LIG넥스원,"삼성물산, HL만도, 원익IPS, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1,"HD현대일렉트릭(267260) 99.1%, 792d"
2024-06-28,펩트론,원익IPS,"삼성물산, KB금융, HL만도, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1,"HD현대일렉트릭(267260) 99.1%, 820d"
2024-07-31,"삼성생명, 리가켐바이오","펩트론, 슈어소프트테크","삼성물산, KB금융, HL만도, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1","HD현대일렉트릭(267260) 99.2%, 853d"
2024-08-30,"기아, 한미약품","HL만도, HD현대일렉트릭","삼성물산, 삼성생명, KB금융, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","한미약품(128940) 99.9%, 0d"
2024-09-30,NAVER,KB금융,"기아, 삼성물산, 삼성생명, 한미약품, 리가켐바이오",꺾임신호:1,"한미약품(128940) 99.9%, 31d"
2024-10-31,"고영, 쎄트렉아이","기아, 삼성물산","삼성생명, NAVER, 한미약품, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","한미약품(128940) 99.9%, 62d"
2024-11-29,"한화, 대한항공, 카카오","고영, 한미약품, 리가켐바이오","삼성생명, NAVER, 쎄트렉아이","트레일링스탑:2, 꺾임신호:1","카카오(035720) 54.6%, 0d; 대한항공(003490) 45.3%, 0d"
2024-12-30,레인보우로보틱스,카카오,"한화, 대한항공, 삼성생명, NAVER, 쎄트렉아이",꺾임신호:1,"레인보우로보틱스(277810) 56.7%, 0d; 대한항공(003490) 43.2%, 31d"
2025-01-31,에스피지,쎄트렉아이,"한화, 대한항공, 삼성생명, NAVER, 레인보우로보틱스",꺾임신호:1,"레인보우로보틱스(277810) 68.7%, 32d; 대한항공(003490) 31.2%, 63d"
2025-02-28,셀트리온,삼성생명,"한화, 대한항공, NAVER, 에스피지, 레인보우로보틱스",꺾임신호:1,"레인보우로보틱스(277810) 72.5%, 60d; 대한항공(003490) 27.4%, 91d"
2025-03-31,"현대건설, 파마리서치, LG에너지솔루션","NAVER, 에스피지, 레인보우로보틱스","한화, 대한항공, 셀트리온","트레일링스탑:2, 꺾임신호:1","현대건설(000720) 66.5%, 0d; 대한항공(003490) 30.8%, 122d; LG에너지솔루션(373220) 2.7%, 0d"
2025-04-30,미래에셋증권,셀트리온,"현대건설, 한화, 대한항공, 파마리서치, LG에너지솔루션",교체(+15% 우위):1,"현대건설(000720) 70.0%, 30d; 대한항공(003490) 27.6%, 152d; LG에너지솔루션(373220) 2.4%, 30d"
2025-05-30,SK스퀘어,LG에너지솔루션,"현대건설, 한화, 대한항공, 미래에셋증권, 파마리서치",교체(+15% 우위):1,"현대건설(000720) 77.2%, 60d; 대한항공(003490) 21.3%, 182d; SK스퀘어(402340) 1.5%, 0d"
2025-06-30,휴림로봇,미래에셋증권,"현대건설, 한화, 대한항공, 파마리서치, SK스퀘어",꺾임신호:1,"현대건설(000720) 79.8%, 91d; 대한항공(003490) 18.2%, 213d; SK스퀘어(402340) 2.0%, 31d"
2025-07-31,"한화오션, 한화시스템","대한항공, 휴림로봇","현대건설, 한화, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1","현대건설(000720) 77.1%, 122d; 한화오션(042660) 21.0%, 0d; SK스퀘어(402340) 1.9%, 62d"
2025-08-29,"제주반도체, 디앤디파마텍","현대건설, 한화시스템","한화, 한화오션, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 75.5%, 0d; 한화오션(042660) 22.5%, 29d; SK스퀘어(402340) 2.0%, 91d"
2025-09-30,한미반도체,한화,"한화오션, 제주반도체, 파마리서치, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 79.5%, 32d; 한화오션(042660) 18.2%, 61d; SK스퀘어(402340) 2.2%, 123d"
2025-10-31,"레인보우로보틱스, 현대오토에버","제주반도체, 파마리서치","한화오션, 한미반도체, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 81.1%, 63d; 한화오션(042660) 16.8%, 92d; SK스퀘어(402340) 2.1%, 154d"
2025-11-28,"고영, 한라캐스트","한화오션, 한미반도체","레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 교체(+15% 우위):1","디앤디파마텍(347850) 87.7%, 91d; 고영(098460) 10.4%, 0d; SK스퀘어(402340) 1.9%, 182d"
2025-12-30,제주반도체,고영,"한라캐스트, 레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 87.3%, 123d; 제주반도체(080220) 10.2%, 0d; SK스퀘어(402340) 2.4%, 214d"
2026-01-30,대덕전자,현대오토에버,"제주반도체, 한라캐스트, 레인보우로보틱스, 디앤디파마텍, SK스퀘어",꺾임신호:1,"디앤디파마텍(347850) 81.3%, 154d; 제주반도체(080220) 15.2%, 31d; SK스퀘어(402340) 3.4%, 245d"
2026-02-19,"삼성전기, 비에이치아이","한라캐스트, 대덕전자","제주반도체, 레인보우로보틱스, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1","디앤디파마텍(347850) 79.5%, 174d; 제주반도체(080220) 16.9%, 51d; SK스퀘어(402340) 3.5%, 265d"
