trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
155,2024-12-30,2025-03-31,277810,레인보우로보틱스,162700.0,264000.0,62.26183159188692,91,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.92% 하락,62.26%
156,2025-01-31,2025-03-31,058610,에스피지,31300.0,22700.0,-27.47603833865815,59,슈퍼사이클 지속,트레일링스탑,peak 대비 -27.48% 하락,-27.48%
158,2025-02-28,2025-04-30,068270,셀트리온,177231.0,155366.0,-12.337006505633886,61,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.8436, challenger=006800",-12.34%
159,2025-03-31,2025-05-30,373220,LG에너지솔루션,334500.0,286000.0,-14.499252615844549,60,리스크완화,교체(+15% 우위),"score_gap=0.6114, challenger=402340",-14.50%
160,2025-04-30,2025-06-30,006800,미래에셋증권,11850.0,21450.0,81.0126582278481,61,슈퍼사이클 지속,꺾임신호,"score_gap=1.1017, challenger=090710",81.01%
162,2024-11-29,2025-07-31,003490,대한항공,25950.0,23700.0,-8.670520231213874,244,슈퍼사이클 지속,꺾임신호,"score_gap=1.2519, challenger=042660",-8.67%
161,2025-06-30,2025-07-31,090710,휴림로봇,3495.0,2595.0,-25.75107296137339,31,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.75% 하락,-25.75%
163,2025-03-31,2025-08-29,000720,현대건설,35950.0,62100.0,72.73991655076495,151,슈퍼사이클 지속,트레일링스탑,peak 대비 -20.89% 하락,72.74%
164,2025-07-31,2025-08-29,272210,한화시스템,59400.0,50900.0,-14.309764309764306,29,슈퍼사이클 지속,꺾임신호,"score_gap=1.3001, challenger=347850",-14.31%
165,2024-11-29,2025-09-30,000880,한화,29900.0,84600.0,182.94314381270902,305,슈퍼사이클 지속,꺾임신호,"score_gap=1.1492, challenger=042700",182.94%
166,2025-03-31,2025-10-31,214450,파마리서치,332000.0,541000.0,62.95180722891567,214,슈퍼사이클 지속,트레일링스탑,peak 대비 -20.44% 하락,62.95%
167,2025-08-29,2025-10-31,080220,제주반도체,16080.0,20550.0,27.798507462686572,63,슈퍼사이클 지속,꺾임신호,"score_gap=1.3083, challenger=307950",27.80%
168,2025-07-31,2025-11-28,042660,한화오션,112300.0,107800.0,-4.007123775601073,120,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.66% 하락,-4.01%
169,2025-09-30,2025-11-28,042700,한미반도체,96500.0,123600.0,28.08290155440414,59,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.8242, challenger=098460",28.08%
170,2025-11-28,2025-12-30,098460,고영,23700.0,22900.0,-3.3755274261603407,32,슈퍼사이클 지속,꺾임신호,"score_gap=1.3259, challenger=080220",-3.38%
171,2025-10-31,2026-01-30,307950,현대오토에버,203500.0,461500.0,126.78132678132678,91,슈퍼사이클 지속,꺾임신호,"score_gap=0.9813, challenger=353200",126.78%
174,2025-05-30,2026-02-19,402340,SK스퀘어,114800.0,568000.0,394.77351916376307,265,슈퍼사이클 지속,최종청산,백테스트 종료,394.77%
175,2025-08-29,2026-02-19,347850,디앤디파마텍,39389.0,88900.0,125.69752976719388,174,슈퍼사이클 지속,최종청산,백테스트 종료,125.70%
176,2025-10-31,2026-02-19,277810,레인보우로보틱스,436500.0,720000.0,64.94845360824742,111,슈퍼사이클 지속,최종청산,백테스트 종료,64.95%
172,2025-11-28,2026-02-19,125490,한라캐스트,13970.0,19120.0,36.864710093056544,83,슈퍼사이클 지속,트레일링스탑,peak 대비 -20.33% 하락,36.86%
177,2025-12-30,2026-02-19,080220,제주반도체,26350.0,46300.0,75.71157495256166,51,슈퍼사이클 지속,최종청산,백테스트 종료,75.71%
173,2026-01-30,2026-02-19,353200,대덕전자,63300.0,59700.0,-5.687203791469198,20,슈퍼사이클 지속,꺾임신호,"score_gap=0.7466, challenger=009150",-5.69%
178,2026-02-19,2026-02-19,009150,삼성전기,343500.0,343500.0,0.0,0,슈퍼사이클 지속,최종청산,백테스트 종료,0.00%
179,2026-02-19,2026-02-19,083650,비에이치아이,81300.0,81300.0,0.0,0,슈퍼사이클 지속,최종청산,백테스트 종료,0.00%
