trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
35,2018-05-31,2018-06-29,012450,한화에어로스페이스,33768.0,23886.0,-29.264392324093812,29,슈퍼사이클 지속,트레일링스탑,peak 대비 -29.26% 하락,-29.26%
37,2018-05-31,2018-07-31,082740,한화엔진,3911.0,3040.0,-22.27051904883661,61,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.27% 하락,-22.27%
38,2018-06-29,2018-07-31,090710,휴림로봇,4375.0,4237.0,-3.1542857142857095,32,슈퍼사이클 지속,꺾임신호,"score_gap=1.2149, challenger=042700",-3.15%
39,2018-06-29,2018-08-31,035420,NAVER,152816.0,150613.0,-1.441602973510625,63,슈퍼사이클 지속,꺾임신호,"score_gap=1.0902, challenger=207940",-1.44%
40,2018-07-31,2018-09-28,042700,한미반도체,5325.0,5175.0,-2.8169014084507005,59,슈퍼사이클 지속,꺾임신호,"score_gap=1.1271, challenger=007660",-2.82%
41,2017-01-31,2018-10-31,010120,LS ELECTRIC,42150.0,49150.0,16.60735468564649,638,슈퍼사이클 지속,트레일링스탑,peak 대비 -36.33% 하락,16.61%
42,2018-06-29,2018-10-31,035720,카카오,22982.0,18385.0,-20.00261073883909,124,슈퍼사이클 지속,트레일링스탑,peak 대비 -26.72% 하락,-20.00%
43,2018-07-31,2018-10-31,267260,HD현대일렉트릭,27710.0,20392.0,-26.40923854204258,92,슈퍼사이클 지속,트레일링스탑,peak 대비 -31.84% 하락,-26.41%
44,2018-08-31,2018-10-31,207940,삼성바이오로직스,673442.0,563625.0,-16.30682375022645,61,슈퍼사이클 지속,트레일링스탑,peak 대비 -27.43% 하락,-16.31%
45,2018-10-31,2018-11-30,005935,삼성전자우,35750.0,33750.0,-5.594405594405593,30,리스크완화,꺾임신호,"score_gap=0.9074, challenger=000250",-5.59%
46,2018-10-31,2018-12-28,084670,동양고속,26600.0,28800.0,8.270676691729317,58,슈퍼사이클 지속,꺾임신호,"score_gap=1.0256, challenger=079550",8.27%
47,2018-12-28,2019-01-31,079550,LIG넥스원,36950.0,34000.0,-7.983761840324766,34,리스크완화,꺾임신호,"score_gap=1.1948, challenger=010140",-7.98%
48,2018-09-28,2019-02-28,007660,이수페타시스,4844.0,4723.0,-2.497935590421141,153,슈퍼사이클 지속,꺾임신호,"score_gap=1.1236, challenger=298380",-2.50%
49,2018-10-31,2019-03-29,204320,HL만도,30550.0,28600.0,-6.382978723404253,149,슈퍼사이클 지속,꺾임신호,"score_gap=1.2041, challenger=000720",-6.38%
50,2018-10-31,2019-04-30,003490,대한항공,17799.0,21495.0,20.76521152873756,181,리스크완화,꺾임신호,"score_gap=1.2501, challenger=099320",20.77%
52,2018-02-28,2019-05-31,000270,기아,34350.0,39350.0,14.556040756914124,457,슈퍼사이클 지속,꺾임신호,"score_gap=0.8366, challenger=009540",14.56%
51,2018-11-30,2019-05-31,000250,삼천당제약,41150.0,39700.0,-3.523693803159178,182,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.85% 하락,-3.52%
53,2019-02-28,2019-06-28,298380,에이비엘바이오,19450.0,24200.0,24.4215938303342,120,슈퍼사이클 지속,트레일링스탑,peak 대비 -28.40% 하락,24.42%
54,2019-05-31,2019-06-28,009540,HD한국조선해양,117500.0,118500.0,0.8510638297872353,28,슈퍼사이클 지속,꺾임신호,"score_gap=0.8892, challenger=012450",0.85%
55,2019-01-31,2019-07-31,010140,삼성중공업,8590.0,6673.0,-22.31664726426077,181,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.82% 하락,-22.32%
57,2019-03-29,2019-07-31,000720,현대건설,51957.0,41886.0,-19.383336220336044,124,슈퍼사이클 지속,꺾임신호,"score_gap=1.1814, challenger=006400",-19.38%
56,2019-06-28,2019-07-31,064260,다날,3745.0,2900.0,-22.563417890520697,33,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.56% 하락,-22.56%
58,2019-07-31,2019-08-30,047810,한국항공우주,36950.0,39300.0,6.359945872801087,30,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.4163, challenger=010140",6.36%
59,2019-05-31,2019-09-30,247540,에코프로비엠,14775.0,12206.0,-17.387478849407778,122,슈퍼사이클 지속,꺾임신호,"score_gap=1.0221, challenger=028300",-17.39%
60,2019-07-31,2019-10-31,000150,두산,82712.0,77800.0,-5.938678789051166,92,슈퍼사이클 지속,꺾임신호,"score_gap=1.3039, challenger=035420",-5.94%
62,2019-07-31,2019-11-29,006400,삼성SDI,243779.0,226156.0,-7.229088641761594,121,슈퍼사이클 지속,꺾임신호,"score_gap=1.0578, challenger=015760",-7.23%
61,2019-09-30,2019-11-29,028300,HLB,24040.0,45814.0,90.57404326123128,60,슈퍼사이클 지속,트레일링스탑,peak 대비 -31.49% 하락,90.57%
63,2019-11-29,2019-12-30,015760,한국전력,27900.0,27800.0,-0.35842293906810374,31,턴어라운드 진입,꺾임신호,"score_gap=1.1902, challenger=226950",-0.36%
64,2019-06-28,2020-01-31,012450,한화에어로스페이스,33869.0,33105.0,-2.2557500959579535,217,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.90% 하락,-2.26%
65,2019-11-29,2020-01-31,098460,고영,20040.0,18400.0,-8.183632734530944,63,슈퍼사이클 지속,꺾임신호,"score_gap=0.9009, challenger=011070",-8.18%
66,2019-08-30,2020-02-28,010140,삼성중공업,7315.0,5503.0,-24.771018455228976,182,슈퍼사이클 지속,트레일링스탑,peak 대비 -26.02% 하락,-24.77%
67,2019-12-30,2020-02-28,226950,올릭스,21220.0,15314.0,-27.832233741753065,60,슈퍼사이클 지속,트레일링스탑,peak 대비 -27.83% 하락,-27.83%
68,2020-01-31,2020-02-28,207940,삼성바이오로직스,704713.0,674169.0,-4.334246707524903,28,슈퍼사이클 지속,꺾임신호,"score_gap=0.6543, challenger=035720",-4.33%
69,2019-04-30,2020-03-31,099320,쎄트렉아이,18800.0,17400.0,-7.446808510638303,336,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.32% 하락,-7.45%
70,2020-01-31,2020-03-31,011070,LG이노텍,152000.0,114000.0,-25.0,60,슈퍼사이클 지속,트레일링스탑,peak 대비 -25.00% 하락,-25.00%
71,2020-02-28,2020-03-31,316140,우리금융지주,9610.0,7650.0,-20.395421436004156,32,리스크완화,트레일링스탑,peak 대비 -20.40% 하락,-20.40%
72,2020-03-31,2020-04-29,087010,펩트론,14560.0,13961.0,-4.1140109890109855,29,리스크완화,꺾임신호,"score_gap=1.1518, challenger=006800",-4.11%
73,2020-02-28,2020-05-29,058470,리노공업,16178.0,19362.0,19.681048337248107,91,리스크완화,꺾임신호,"score_gap=0.9421, challenger=028300",19.68%
