rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2024-04-30,"HL만도, 슈어소프트테크","현대로템, 제주반도체","삼성물산, LIG넥스원, 원익IPS, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1","HD현대일렉트릭(267260) 99.0%, 761d; HL만도(204320) 0.9%, 0d; LIG넥스원(079550) 0.1%, 216d; 슈어소프트테크(298830) 0.0%, 0d; 삼성물산(028260) 0.0%, 90d; 원익IPS(240810) 0.0%, 61d"
2024-05-31,KB금융,LIG넥스원,"삼성물산, HL만도, 원익IPS, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1,"HD현대일렉트릭(267260) 99.1%, 792d; HL만도(204320) 0.8%, 31d; KB금융(105560) 0.1%, 0d; 슈어소프트테크(298830) 0.0%, 31d; 삼성물산(028260) 0.0%, 121d; 원익IPS(240810) 0.0%, 92d"
2024-06-28,펩트론,원익IPS,"삼성물산, KB금융, HL만도, HD현대일렉트릭, 슈어소프트테크",꺾임신호:1,"HD현대일렉트릭(267260) 99.1%, 820d; HL만도(204320) 0.8%, 59d; KB금융(105560) 0.1%, 28d; 슈어소프트테크(298830) 0.0%, 59d; 삼성물산(028260) 0.0%, 149d; 펩트론(087010) 0.0%, 0d"
2024-07-31,"삼성생명, 리가켐바이오","펩트론, 슈어소프트테크","삼성물산, KB금융, HL만도, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1","HD현대일렉트릭(267260) 99.2%, 853d; HL만도(204320) 0.7%, 92d; KB금융(105560) 0.1%, 61d; 리가켐바이오(141080) 0.0%, 0d; 삼성물산(028260) 0.0%, 182d; 삼성생명(032830) 0.0%, 0d"
2024-08-30,"기아, 한미약품","HL만도, HD현대일렉트릭","삼성물산, 삼성생명, KB금융, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","한미약품(128940) 99.9%, 0d; KB금융(105560) 0.1%, 91d; 기아(000270) 0.0%, 0d; 리가켐바이오(141080) 0.0%, 30d; 삼성물산(028260) 0.0%, 212d; 삼성생명(032830) 0.0%, 30d"
2024-09-30,NAVER,KB금융,"기아, 삼성물산, 삼성생명, 한미약품, 리가켐바이오",꺾임신호:1,"한미약품(128940) 99.9%, 31d; NAVER(035420) 0.1%, 0d; 기아(000270) 0.0%, 31d; 리가켐바이오(141080) 0.0%, 61d; 삼성물산(028260) 0.0%, 243d; 삼성생명(032830) 0.0%, 61d"
2024-10-31,"고영, 쎄트렉아이","기아, 삼성물산","삼성생명, NAVER, 한미약품, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","한미약품(128940) 99.9%, 62d; NAVER(035420) 0.1%, 31d; 쎄트렉아이(099320) 0.0%, 0d; 리가켐바이오(141080) 0.0%, 92d; 고영(098460) 0.0%, 0d; 삼성생명(032830) 0.0%, 92d"
2024-11-29,"한화, 대한항공, 카카오","고영, 한미약품, 리가켐바이오","삼성생명, NAVER, 쎄트렉아이","트레일링스탑:2, 꺾임신호:1","카카오(035720) 54.6%, 0d; 대한항공(003490) 45.3%, 0d; NAVER(035420) 0.1%, 60d; 쎄트렉아이(099320) 0.0%, 29d; 한화(000880) 0.0%, 0d; 삼성생명(032830) 0.0%, 121d"
2024-12-30,레인보우로보틱스,카카오,"한화, 대한항공, 삼성생명, NAVER, 쎄트렉아이",꺾임신호:1,"레인보우로보틱스(277810) 56.7%, 0d; 대한항공(003490) 43.2%, 31d; NAVER(035420) 0.1%, 91d; 쎄트렉아이(099320) 0.0%, 60d; 한화(000880) 0.0%, 31d; 삼성생명(032830) 0.0%, 152d"
2025-01-31,에스피지,쎄트렉아이,"한화, 대한항공, 삼성생명, NAVER, 레인보우로보틱스",꺾임신호:1,"레인보우로보틱스(277810) 68.7%, 32d; 대한항공(003490) 31.2%, 63d; NAVER(035420) 0.1%, 123d; 에스피지(058610) 0.0%, 0d; 한화(000880) 0.0%, 63d; 삼성생명(032830) 0.0%, 184d"
