rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis
2021-05-31,대한전선,엘앤에프,"SK하이닉스, 삼성SDI, 신한지주, 한화엔진, 비에이치아이",꺾임신호:1
2021-06-30,레인보우로보틱스,대한전선,"SK하이닉스, 삼성SDI, 신한지주, 한화엔진, 비에이치아이",꺾임신호:1
2021-07-30,"에스피지, 현대로템","SK하이닉스, 한화엔진","삼성SDI, 신한지주, 비에이치아이, 레인보우로보틱스","트레일링스탑:1, 꺾임신호:1"
2021-08-31,"에코프로, 에코프로비엠","에스피지, 비에이치아이","삼성SDI, 신한지주, 현대로템, 레인보우로보틱스","트레일링스탑:1, 교체(+15% 우위):1"
2021-09-30,HD현대일렉트릭,에코프로,"삼성SDI, 신한지주, 현대로템, 에코프로비엠, 레인보우로보틱스",꺾임신호:1
2021-10-29,"LG이노텍, 하나마이크론, 에코프로","현대로템, HD현대일렉트릭, 레인보우로보틱스","삼성SDI, 신한지주, 에코프로비엠","트레일링스탑:2, 꺾임신호:1"
2021-11-30,포스코퓨처엠,삼성SDI,"LG이노텍, 신한지주, 하나마이크론, 에코프로, 에코프로비엠",꺾임신호:1
2021-12-30,삼성물산,에코프로비엠,"포스코퓨처엠, LG이노텍, 신한지주, 하나마이크론, 에코프로",꺾임신호:1
2022-01-28,"현대건설, 한미반도체, 효성중공업","포스코퓨처엠, 삼성물산, 에코프로","LG이노텍, 신한지주, 하나마이크론","트레일링스탑:2, 꺾임신호:1"
2022-02-28,보성파워텍,한미반도체,"현대건설, LG이노텍, 신한지주, 하나마이크론, 효성중공업",꺾임신호:1
2022-03-31,HD현대일렉트릭,하나마이크론,"현대건설, 보성파워텍, LG이노텍, 신한지주, 효성중공업",꺾임신호:1
2022-04-29,현대글로비스,LG이노텍,"현대건설, 보성파워텍, 신한지주, HD현대일렉트릭, 효성중공업",꺾임신호:1
2022-05-31,현대모비스,보성파워텍,"현대건설, 신한지주, 현대글로비스, HD현대일렉트릭, 효성중공업",교체(+15% 우위):1
2022-06-30,한화오션,신한지주,"현대건설, 현대모비스, 현대글로비스, HD현대일렉트릭, 효성중공업",꺾임신호:1
2022-07-29,한화에어로스페이스,현대글로비스,"현대건설, 현대모비스, 한화오션, HD현대일렉트릭, 효성중공업",꺾임신호:1
2022-08-31,비에이치아이,한화오션,"현대건설, 현대모비스, 한화에어로스페이스, HD현대일렉트릭, 효성중공업",꺾임신호:1
2022-09-30,"현대약품, 한국전력, 셀트리온","현대건설, 한화에어로스페이스, 비에이치아이","현대모비스, HD현대일렉트릭, 효성중공업",트레일링스탑:3
2022-10-31,"LS ELECTRIC, 고려아연","한국전력, 효성중공업","현대약품, 현대모비스, 셀트리온, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2022-11-30,한국전력,현대약품,"LS ELECTRIC, 고려아연, 현대모비스, 셀트리온, HD현대일렉트릭",꺾임신호:1
2022-12-29,파마리서치,고려아연,"LS ELECTRIC, 현대모비스, 한국전력, 셀트리온, HD현대일렉트릭",꺾임신호:1
2023-01-31,삼성중공업,현대모비스,"LS ELECTRIC, 한국전력, 셀트리온, 파마리서치, HD현대일렉트릭",꺾임신호:1
2023-02-28,"스피어, 카카오페이","한국전력, 셀트리온","LS ELECTRIC, 삼성중공업, 파마리서치, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2023-03-31,"비에이치아이, 한화시스템","스피어, 카카오페이","LS ELECTRIC, 삼성중공업, 파마리서치, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2023-04-28,HD건설기계,비에이치아이,"LS ELECTRIC, 삼성중공업, 파마리서치, HD현대일렉트릭, 한화시스템",꺾임신호:1
2023-05-31,카카오페이,한화시스템,"LS ELECTRIC, 삼성중공업, 파마리서치, HD현대일렉트릭, HD건설기계",꺾임신호:1
2023-06-30,"펩트론, 효성중공업","삼성중공업, 카카오페이","LS ELECTRIC, 파마리서치, HD현대일렉트릭, HD건설기계","트레일링스탑:1, 교체(+15% 우위):1"
2023-07-31,레인보우로보틱스,펩트론,"LS ELECTRIC, 파마리서치, HD현대일렉트릭, HD건설기계, 효성중공업",꺾임신호:1
2023-08-31,이수스페셜티케미컬,HD건설기계,"LS ELECTRIC, 파마리서치, HD현대일렉트릭, 레인보우로보틱스, 효성중공업",교체(+15% 우위):1
2023-09-27,"삼양식품, LIG넥스원","레인보우로보틱스, 이수스페셜티케미컬","LS ELECTRIC, 파마리서치, HD현대일렉트릭, 효성중공업","트레일링스탑:1, 꺾임신호:1"
2023-10-31,"대한항공, 한화시스템","LS ELECTRIC, 효성중공업","삼양식품, LIG넥스원, 파마리서치, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2023-11-30,"엘앤에프, 이수스페셜티케미컬","삼양식품, 파마리서치","대한항공, LIG넥스원, HD현대일렉트릭, 한화시스템","트레일링스탑:1, 꺾임신호:1"
2023-12-28,뉴로메카,이수스페셜티케미컬,"대한항공, 엘앤에프, LIG넥스원, HD현대일렉트릭, 한화시스템",꺾임신호:1
